ger,pior,Medio,melhor,dev.padr,ilha
34,1.86742,1.86743,1.86743,1.24147e-11,ilha_0
34,1.86694,1.86739,1.86743,1.74008e-08,ilha_1
34,1.86707,1.86741,1.86743,6.00611e-09,ilha_2
34,1.86738,1.86743,1.86743,1.46012e-10,ilha_3
34,1.55592,1.85185,1.86743,0.00460925,ilha_4
34,1.86718,1.86742,1.86743,3.01301e-09,ilha_5
35,-1.39702,1.54098,1.86743,0.959094,ilha_0
35,1.55253,1.85163,1.86743,0.0047083,ilha_1
35,-1.7853,1.68479,1.86743,0.633766,ilha_2
35,1.86717,1.86742,1.86743,3.32863e-09,ilha_3
35,1.86718,1.86741,1.86743,2.78185e-09,ilha_4
35,1.86443,1.86713,1.86743,8.11149e-07,ilha_5
36,-1.39702,1.60909,1.86743,0.646984,ilha_0
36,1.86737,1.86743,1.86743,1.59042e-10,ilha_1
36,-1.39511,1.70351,1.86743,0.505354,ilha_2
36,-0.0351881,1.7723,1.86743,0.171948,ilha_3
36,-1.78625,1.47916,1.86743,0.882598,ilha_4
36,-1.78545,1.52166,1.86743,1.07983,ilha_5
37,-1.78545,1.66827,1.86743,0.632465,ilha_0
37,1.55324,1.85172,1.86743,0.00468889,ilha_1
37,1.86705,1.86741,1.86743,6.75934e-09,ilha_2
37,-1.39473,1.70417,1.86743,0.505433,ilha_3
37,-1.78621,1.36406,1.86743,1.14669,ilha_4
37,-1.39511,1.53215,1.86743,0.953629,ilha_5
38,1.86443,1.86727,1.86743,4.27205e-07,ilha_0
38,-0.0351881,1.77228,1.86743,0.171945,ilha_1
38,1.56713,1.85241,1.86743,0.0042836,ilha_2
38,1.86444,1.86728,1.86743,4.23745e-07,ilha_3
38,-0.0344379,1.71809,1.86743,0.178825,ilha_4
38,1.86742,1.86743,1.86743,2.28009e-12,ilha_5
39,-1.78545,1.40476,1.86743,1.30129,ilha_0
39,1.79584,1.86383,1.86743,0.000243346,ilha_1
39,1.5531,1.84814,1.86743,0.00482376,ilha_2
39,1.55296,1.85171,1.86743,0.00469742,ilha_3
39,-0.35092,1.72542,1.86743,0.235537,ilha_4
39,1.85164,1.86664,1.86743,1.18378e-05,ilha_5
40,-1.78545,1.66891,1.86743,0.632708,ilha_0
40,-1.78549,1.66974,1.86743,0.632627,ilha_1
40,-1.78545,1.68479,1.86743,0.63382,ilha_2
40,1.86738,1.86743,1.86743,1.27158e-10,ilha_3
40,1.86441,1.86728,1.86743,4.32272e-07,ilha_4
40,1.86743,1.86743,1.86743,4.45225e-13,ilha_5
41,-0.0346255,1.72634,1.86743,0.174525,ilha_0
41,1.79576,1.86385,1.86743,0.000243971,ilha_1
41,1.56713,1.83307,1.86743,0.00809072,ilha_2
41,1.86742,1.86743,1.86743,5.18826e-12,ilha_3
41,1.86743,1.86743,1.86743,1.97215e-31,ilha_4
41,-1.78545,1.66534,1.86743,0.631536,ilha_5
42,-0.034813,1.77153,1.86743,0.171741,ilha_0
42,1.85157,1.86664,1.86743,1.19423e-05,ilha_1
42,1.86743,1.86743,1.86743,7.49336e-15,ilha_2
42,-1.39492,1.7043,1.86743,0.505536,ilha_3
42,1.79576,1.86025,1.86743,0.000461514,ilha_4
42,-1.39511,1.54128,1.86743,0.957362,ilha_5
43,-1.78549,1.684,1.86743,0.633557,ilha_0
43,1.86743,1.86743,1.86743,1.31649e-17,ilha_1
43,1.86743,1.86743,1.86743,6.25643e-16,ilha_2
43,1.85168,1.86664,1.86743,1.17856e-05,ilha_3
43,1.56698,1.83381,1.86743,0.00815281,ilha_4
43,1.86742,1.86743,1.86743,2.27647e-12,ilha_5
44,1.86443,1.86728,1.86743,4.28118e-07,ilha_0
44,-1.39549,1.70408,1.86743,0.505652,ilha_1
44,1.55324,1.8517,1.86743,0.00468822,ilha_2
44,-1.39549,1.70428,1.86743,0.505717,ilha_3
44,1.86743,1.86743,1.86743,1.97215e-31,ilha_4
44,-1.78545,1.50214,1.86743,1.20092,ilha_5
45,1.86743,1.86743,1.86743,1.1934e-16,ilha_0
45,-0.0342504,1.75335,1.86743,0.175021,ilha_1
45,1.86742,1.86743,1.86743,1.8604e-12,ilha_2
45,1.86743,1.86743,1.86743,5.14423e-15,ilha_3
45,1.56698,1.85241,1.86743,0.0042879,ilha_4
45,-1.78545,1.58968,1.86743,0.770925,ilha_5
46,1.55324,1.83312,1.86743,0.00852835,ilha_0
46,1.85157,1.86639,1.86743,1.27203e-05,ilha_1
46,-1.39549,1.70428,1.86743,0.505717,ilha_2
46,-1.39549,1.52183,1.86743,0.95043,ilha_3
46,1.86743,1.86743,1.86743,6.94812e-18,ilha_4
46,-1.78625,1.52165,1.86743,1.07993,ilha_5
47,1.55324,1.85171,1.86743,0.00468853,ilha_0
47,1.85157,1.86585,1.86743,2.24796e-05,ilha_1
47,-1.36803,1.70565,1.86743,0.497235,ilha_2
47,1.86743,1.86743,1.86743,1.21117e-15,ilha_3
47,1.86705,1.86741,1.86743,6.96095e-09,ilha_4
47,-1.78545,1.50214,1.86743,1.20092,ilha_5
48,-0.0344379,1.77233,1.86743,0.171812,ilha_0
48,1.56683,1.8524,1.86743,0.00429204,ilha_1
48,1.84769,1.86644,1.86743,1.85188e-05,ilha_2
48,-0.0342504,1.75649,1.86743,0.173444,ilha_3
48,1.79584,1.86306,1.86743,0.000249695,ilha_4
48,1.86743,1.86743,1.86743,6.80703e-15,ilha_5
49,1.79435,1.86297,1.86743,0.000259623,ilha_0
49,1.86743,1.86743,1.86743,1.49499e-12,ilha_1
49,1.55296,1.84811,1.86743,0.00482823,ilha_2
49,-1.39549,1.685,1.86743,0.504241,ilha_3
49,-1.78549,1.68478,1.86743,0.633831,ilha_4
49,-0.0346255,1.75652,1.86743,0.173112,ilha_5
50,-0.01277,1.76905,1.86743,0.167347,ilha_0
50,1.86743,1.86743,1.86743,4.43734e-31,ilha_1
50,1.86717,1.86742,1.86743,3.11761e-09,ilha_2
50,-1.39549,1.66997,1.86743,0.503049,ilha_3
50,-1.39549,1.69912,1.86743,0.504286,ilha_4
50,-0.0346255,1.75661,1.86743,0.17355,ilha_5
